source,question,answer,rating
,###    ##   #     #    #      ## ## # #  ##  #   # ###  #    # #   # ###    ## # # #   ###  ## #     ##        #  # #  # #   #    #    ####        # # #  # ## # # ######G    ###   #     # ## #   #   ### # #      # ## # #  #      #### #      # #      # ###       #   #   ##   #  #  # # ##      # ##    #   ###  ##  # #  ###    # #      # # S#    #  ##   #    ##    ## ### ##  # ##  #     #     # ##  # ##   ## ## ## # ##  #   # # ### # # #      ##      # #  ### ### # #   #  ##     #    # ##    #     ### #  # #  ###      # # ##  ###    ## #  #    ###### #  # # ###  #   # #  #    # ## # ### ##  #  ###  #  #     # ##   ##   ###  #       ##   #        #     # #### # #       ##     ## # #   # # #    ## # #     ###  # #   #   ## #####   #  ## ##    ##   # # ## # ##   #    # ###   ##             ## ###  # # #   ##  #  #   #  #    ##       ### #      #  #   # # ##      ## ## ##  ## #   # # #  # ## ##,###    ##   #     #    #      ## ## # #  ##  #   # ###  #    # #   # ###    ## # # #   ###  ## #     ## oooooo #  # #  # #   #    # ooo####o       # # #  # ## # #o######G    ###   #     # ## #oo #   ### # #      # ## # #  #ooo   #### #      # #oooooo# ###ooo    #   #   ##  o#  #o # # ##oooooo# ##    #  o### o##  # #  ###o   # #    oo# # S#    #  ##  o#    ##  oo## ### ##  # ##  #ooooo#    o# ##  # ##   ## ## ## #o##  #oo # # ### # # #      ##o     #o#  ### ### # #   #  ##o    # ooo# ##    #     ### #oo# #  ###o     # # ##  ###   o## #  #  oo###### #  # # ###oo#   # #  #oo  # ## # ### ##oo#  ###  #  #ooo  # ##   ##  o###  #       ##o  #        # o   # #### # #  ooooo##     ##o# #   # # #    ## #o#ooo  ###oo# #   #   ## #####ooo#oo## ##oooo##   # # ## # ##   #oooo# ###oo ##             ## ###oo# # #o  ##  #  #   #  #    ##ooooooo### #      #  #   # # ##      ## ## ##  ## #   # # #  # ## ##,113
,  # # ### #  ## #   #### ##   #  # ###    ###     ### ## ## # ## #            ## #  #   ##    #   #   ##  #    #      # ##  # ##     #    # # # # #  #  #   #   #  # ## #   #  #    #     # #       # #  ##   #  # #   # # ##  ## #     #  # #    ##     # ##  #        #  ##    # ##    ## ##### ## #  ###  # ## ##    ### #  # # #         #  # # ## ###  # # ##  # #   #     #  #    #    # #    ## #   #  #  ## ##       # #  ## # #    ## ### ##     #   #  #######      # #   #      # #             # #     #  ## # #   #    ## # ####   ###    # ##   #### #   #      #  #       ##    # ##  ##  ### #     #  ##     ######   ##### ##### #  #           ##G  ###  #  # ###  S# #   # #  ###   ### #  # #     # #    # ##### #  # #   ######  #   #     # ###  #  ## ###    #  ##  ### #       # #          #      # # ## #  # ##     ##  ### ### ##  ##### #  ###    ##  #  #   ### ###   # ## ## # ## #    # ## # #   #  #,  # # ### #  ## #   #### ##   #  # ###    ###     ### ## ## # ## # oooooooo   ## #  #   ##    #ooo#   ##o #    # ooooo# ##  #o##     #oooo# # #o# #o #  #  o#   #  # ##o#   #o # o  #   oo# #       #o#  ##o  #oo# #  o# # ##  ## #o    #o # #oo  ##oooo # ##  # ooooooo#  ##o   # ##oo  ## ##### ## #  ###o # ## ##oo  ### #  # # #   ooo   #  # #o## ###  # # ##  #o#   #     #o #    #    # #oooo## #   #  #oo## ##       #o#  ## # #    ##o### ##ooo  # o #  #######    o # #  o#oooooo# #  ooooooooooo# #   o #  ## # #  o#    ## # ####  o###    # ## oo#### #   #  oooo#  #       ##o   # ##  ##oo### #     #  ## o   ######  o##### ##### #  # o         ##G  ###  #  # ###  S# #   # #  ###   ### #  # #     # #    # ##### #  # #   ######  #   #     # ###  #  ## ###    #  ##  ### #       # #          #      # # ## #  # ##     ##  ### ### ##  ##### #  ###    ##  #  #   ### ###   # ## ## # ## #    # ## # #   #  #,110
,         ####  ##       ###### #  # #     ##       #  ##   #  #  ##        #   ##   #    #  # #  #    ####    ####   # #  ##  ##    # #    #   #  ####    ##  #####      # #  #####     # ### # # #  #S ##           #  #    ### ####  #G# #### # ##  #     # ## #  # #  ##     ## ##  # #     #### ###      # # #  # ###      # #   # ##   # #   ### ##  # # #   #    #    ###    ######     ##            ######  ##   #  #  #     ##   ###  #     ###     #  ####  #  ##   # #     ## # ##  ##  #    #  ## #      ####        ###   # # #       # #  ## #      ##    # # #  # #  ##    #   # ####  #    #  ## # # ### ###### ### ####      # # #    # ##          #   #      #    # ## ### # #    ## ###      ###     ## ##  ## #  ##      #  ## #      ##   #   #####  #   ##### # # #  #######  #   #        #    #    # #    #    # ## ##      #     #    ## # #  #  # #     #  #       #  # # ## #  #      #   #            #,oooooooo ####  ##       ######o#  # #o    ##ooo    #  ##   #o #  ##oooooooo#o  ##   #    #o # #  #    ####o   ####   # #o ##  ##    # # o  #   #  ####o   ##  #####   ooo# #  ##### o   # ### # # #  #S ##oooooooooo #  #    ### ####  #G# ####o#o##  #     # ## #  # #  ##  ooo## ##  # #     #### ### ooooo# # #  # ###      # #   #o## o # #   ### ##  # # #   # o  #o   ###    ###### ooo ##ooo   oooo  ######  ##ooo#o # o#     ##ooo###  #    o###ooooo#  ####  #o ##   # # o   ## # ##  ##  # oo #  ## # o    ####        ###ooo# # # oo    # #  ## #      ##ooo # #o#  # #  ##    #   # ####oo#  oo#  ## # # ### ###### ###o####o     # # #    # ##      ooo #o  #      #    # ## ### # #oooo## ###      ###     ## ##  ## #  ##      #  ## #      ##   #   #####  #   ##### # # #  #######  #   #        #    #    # #    #    # ## ##      #     #    ## # #  #  # #     #  #       #  # # ## #  #      #   #            #,110
, ### #     #  ### #  ## # ##     # ##     ## #   # #  #  #  ## ###     #        #    #    #  ##  #     ## ##  #  #   #  # #   ## #    # ### #   #  #  ## #  ##  #  #  ##    #  ### #   ##     ### #  ### # # # #       # # ## # #    ### # # #  #      #  # # # #  ### # #   # #### # #         # ###      # # #   ## ### ##   ##  # # #      # #    ########     ## ## ## #  # ## #   # #  ###    # ##   ##       # ###     ###     ###        #  # #### #   #  # ###  ## #  # ## ##  ## ####   # #     ##  #  ###  ###      # # #   ##           #  #   ######## ##  #####  #   ### # # # # ####   ##   # ##  ## #    #  S  ## ##            #   ##   ## # #    #  # #   #  # #   ###  ###   #  ##   #   ###    #    #   ###   ######    # #  ### # # # # # #        ###   ##   # #### #  ##    ## # #  #   ####       #  ##  # ###G#   #  ### #   ## ###  #   ##    #   #    # ##  ##   #   # #    #    ### # ### ###   #   # ## , ### #     #  ### #  ## # ##     # ##     ## #   # #  #  #  ## ###     #   oooo #    #    #  ##  #     ##o##oo#  #   #  # #   ## #    #o###o#ooo#  #  ## #  ##  #  # o## ooo#oo### #   ##     ### #o ### # #o# #       # # ## # #o   ### #o# #  #      #  # # #o#  ### #o#   # #### # #ooooooo  # ### ooo  # # #   ##o### ##   ##  # #o#      # #  oo########     ##o## ## #  # ##o#   # #  ###   o# ##   ##    o  # ###     ###oo   ###      o #  # #### #   #oo# ###  ## #oo# ## ##  ## ####o  # #     ##o #  ###  ###   oo # # #   ## oooooo    #  #  o######## ##  #####oo#   ### #o# # # ####   ##   #o##  ## # ooo#  So ## ##   oooo     #   ##o  ##o# #    #oo# #   #  # #  o### o###   # o##   #   ###   o#  oo#   ### o ######    # #oo###o# # # # #o#        ### oo##ooo# #### #oo##    ## # # o#  o####ooooooo#  ##  # ###G#o  #o ###o#   ## ###  #   ##ooo # o #ooo # ##  ##   #   # #    #oooo### # ### ###   #   # ## ,119
,     ##   #            # #    # # ##  # #S  # # #      #  ##    #   #  # ### #  ## # #  # # ## #    # ## ##  #  # ####### #     #   ## #   #    #         #     # #  ###  #          # ###    #  #   #   # #    ### #    #  # #      ##     # ##   ### ##   ### ###   # #  # ##    # ##   #      ### # ##   #  # # ### ## # # # ##      #   #####       ##  ## ### #   # ## # ####  ######   ## #  #      # # #    # ##    ##  ##  # #   ## ## #  #  # #  ###   ### # ### ###  #  # ## #        ## # #  #  #  ### ####   # #    #   # # # #     ##    #     #          ###  #  ###  # ### #  #      ## ####      #    #      ####    ##     ###   # #     # # ##    ##    # # # ###  #   ## #   #  #   ## ####      ##  #   ### # ## # #   #      #  ### # ##     #  ##     # # #   # #### ##    #    ###           ###  #   #       ## #     # G# #   #   #  ## #  # #   #  #  #  ####     ## #       #  # #### ## # #   #   ## #  ,     ##   #  ooooooo   # #    # # ##  # #Soo# # #o     #  ##    #   #  # ### #oo## # #  # # ## #    # ## ## o#  # ####### #     #   ## #  o#    #         #     # #  ###o #          # ###    #  #   #o  # #    ### #    #  # #  oooo##     # ##   ### ##   ###o###   # #  # ##    # ##   #ooo   ### # ##   #  # # ### ##o# # # ##      #   #####    ooo##  ## ### #   # ## # #### o######   ## #  #      # # #  oo# ##    ##  ##  # #   ## ## #o #  # #  ###   ### # ### ### o#  # ## #  ooo   ## # #  #  #oo### #### oo#o#    #   # # # #ooooo##   o# oooo#          ###  #o ###oo# ###o#  #oooooo## ####oooooo#    #o   oo####oo  ##     ###   # #o   o# # ##oooo##    # # # ###o # oo## #   #o #   ## ####   o  ##o #   ###o# ## # #   # ooo  # o### # ##ooo  #  ##ooooo# # # o # #### ##oooo#   o###       oo  ###  #   #oooooo ## #     #oG# #   #   #  ## #  # #   #  #  #  ####     ## #       #  # #### ## # #   #   ## #  ,114
,   #S  #    #  #  #   # # #####    # #  ##  #    #  ##    ## #  ## ##   G   ##  #     #  # #   #  #   ##       ##          # #  #   #  #    ## # ###   ##  #### #    ##       # ###  #  ## #  #   #   #  #    #  # # ###     ##  #    #    # ##   # #         #   ##  # # #    # # #  #  ## ####    # #  ###      #    # ###   ####      ##  #### # ##   #    # #####  ###  #### ##  # # #  ####  #  ###    #   ### ##### # ## #           # ##        ###        # #   #  #  ###  # # # #  #  #   #   #    # ##       ##  #  ##   ##  ##  #  ## ###       #   # #  ##     #### #   ###    # ##    # #    # #   ##     #   #    ##  #  #  #  #  # #  # ###      #       #        ##    ##    ## #  #   ### #  #   #   #   #  ## ## #   ## #   #   #  # # # #      #### #  ##    #  #  ###   ##  ## #    ####     ##    # ####    #  ###   ## #    #   #      # #  ##    ###    ## #     ##  ## #  #### ##      # ###       # #   #  ,   #S  #    #  #  #   # # #####  oo# #  ##  #    #  ##    ## # o## ##   Goo ##  #     #  # #oo #  #   ##ooo    ##       ooo# #  #   #  #oo  ## # ###  o##  #### #    ##oooooo # ### o#  ## #  #   #   #  #o   #  #o# ###     ##  #    # oo # ## o # #         #   ##  #o# #   o# # #  #  ## ####    #o#  ###oo    #    # ###   ####ooooo ##oo#### # ##   #    # #####o ###o #### ##  # # #  ####  #o ###o   #   ### ##### # ## # o   oo    # ##ooooo   ###oooooo  #o#   #  # o###oo# # #o#  #  # oo#   #oooo# ##ooooooo##  #  ##o  ##oo##  #  ## ###       #  o# # o##     #### #   ###    #o##  o # #    # #   ##     #ooo#   o##  #  #  #  #  # #  #o###   o  #       #        ## oo ##  o ## #  #   ### #  #   #o  # oo#  ## ## #   ## #   #  o#  #o# # #      #### #  ##   o#  #oo###   ##  ## #    #### oooo##o   # ####    #  ###   ## #oooo#   #      # #  ##    ###    ## #     ##  ## #  #### ##      # ###       # #   #  ,111
,  #  #        ##   ## # ##   # #     ### ##  #        #  ## # #   #  ## ##    ## #    ### # ## # ## # # #     #           #     #    #  #  ##  #  ##   # ##    #        # # #      #  S###   #  #   ##  #  # #  ###  #     #####  #  # ##    #  #  # #### #  ####    #  ####    #    # # ####   #       #####       ### G##  ## ####    #  #       # #  # #     #  #  # # #  #  ## # #  #     ## ## # #  # #   #   # ## # # # # #  #  #   # ###  #    #    ##  # # ## # ## #  ##  #    #  # ### ## # #  #  #  ## ##     #   ###   #   # ##### #   #  # #   # # ##  ##   ## #   #   ### ## # ##  #      # #  #   ##  #    ## #     # ####     #  #### ####  #  #  #    ####      ## # # ###  ##        #  #   ##    #  # ##  # #      # # # #   # # #   #    #    ###    # #   # ###   ### # # #   #   # ## #   ####   #    ###    ###         ##  #    ##     # ##    #  # #            #  ### #  #   ##   ##  #    ### ### ##   ###,  #  #oooooooo##   ## # ##   # #   oo### ##oo# oooooo #  ## # # oo#  ## ##oooo## #o   ### # ##o# ## # # #     # ooo       # oo  #    #  #  ##  #o ##   # ##oo  #        # # # o    #  S###o  #  #   ##  #  #o#  ### o#ooo  #####  #  # ##oo  #  #oo#o#### #  ####    # o####   o# o  # # ####   #ooooo  #####oooo   ### G##  ##o####    #  #       # #o # #  o  #  #  # # #  #  ## #o#  #  o  ## ## # #  # #   #  o# ## #o# # # #  #  #   # ###oo#    #o   ##  # # ## # ## #oo##  #  o #  # ### ## # #  #oo#  ## ##ooo  #   ###   #   #o##### #   #o # #   # # ##  ##o  ## #   # o ### ## # ##  #  o   # #  # oo##  #    ## #    o# ####    o#  #### ####  #  #oo#    ####o     ## # # ###  ##oo      # o#   ##    #  # ##  #o#      #o# # #   # # #   #   o#    ###oo  # #   # ###   ###o# # #   #o  # ## #   ####   #o   ### ooo###         ##  #  o ##ooooo# ##    #  # #       ooooo#  ### #  #   ##   ##  #    ### ### ##   ###,115
,# # # # ####    ###      ####          # ####  ###  ## # ####            ###    #      # #  #    #####   ##         #  ##   ##   ##### #   # ##   ##     ##    #  #     # # ##  ##    ## ## #    ##  #### ## # ##   # #  #  ##    ##    # #    #  ### # # ##  ## ## ####  #   #   # #   #  # ## # ###     #      # #      #     #  ### # #  ##  #  ## #    ### ## ##  #      # ####    ##   # # ## #   ###  ## #   ##  ## # #    ##    ## ##     ### # #  ## # # # # # ## # # ####   # ##  #  #  #     # #     #   #  ## #####       # ####   # # #     ##     #S##     ##  #     ## #  ## #  ###  #    #   ### ##   #       #  #      #  # #  #    # #   #  ##   #   ###  #    #        #  # #   #   ##     ####  #  ## ##  # ##     #   #   #  # # #     ####  ###  #   #####  #     # #  #  ###  # #  # #  #######  G ###  #   # #### ### ## # #  ##  #   ###   #  ##  ## ### # ##### # ##   #    ## #   # ## ## #       ### ####,# # # # ####    ###      ####          # ####  ###  ## # ####     ooooooo###    #      # #  #oooo#####ooo##         #  ## oo##   #####o#   # ##   ##   oo##    #  # oo  # # ##  ##   o## ## #    ##o #### ## # ##  o# #  #  ## ooo##    # #    # o### # # ##oo## ## ####  #   #o  # #   # o# ## # ###     #  o   # #   oo #     #  ### # # o##  #  ##o#    ### ## ##  # oo   # ####o   ##   # # ## #  o###  ## # o ##  ## # #    ## o  ## ##   o ### # #  ## # # #o# # ## # #o####   # ##  #  # o#     # # ooo #   #  ## #####ooooo  # ####oo # # #     ##     #S##     ##oo#ooooo## #  ## #  ###  #    #ooo###o##   #       #  #      #  # #oo#    # #   #  ##ooo#ooo###  #o   #        #  #o#ooo#o  ##  o  ####  #  ## ##o # ##o    # oo#   #  # # #   oo####o ###  #o  #####  #     #o#  #oo###  #o#  # #  ####### oG ###o #   #o#### ### ## # #  ##  #o  ### o #  ##  ## ### # #####o# ##ooo#    ## #   # ## ## # oooooo### ####,112
,##    # ### ##     #####  ##  ## #  ####     #      # #  # #S #    ##     #        #  ## ##  #   # ## ##  ##   # #           # #     # # ##     #      #   ##    ##  ######     ###   #    # #   ##    ##  ## ##    #  ## ### #  #      #### ###  #   #  ##   #  ##   #  ## ######      #    ##  ##    # #    ######   #      # # #  ###    ### # # #    # #   #  ##  ##    ##    #  # ##  # ##  # ###   # #    ## ##  # # #  #   # ##  #   # #    # # # ##    #  #### # ###  #  ##  # # #   ###       #   #     #    ####   #     ###  #     ##  # # #   #  #    ###        # ### #### #### ### # ## #       ##### # ####     # ####   # # #   G   ##    ## # #  #   #  # #     #   ## ##   #      ####  ##  #  # # # ## #  # ###  #  ####    # ### ## ###     ### # ###     #  ####   #  #  # ####  # #    #    ###         ###    # #  # #       #  # # # ##  ## #  #  ## # #    #      # # #  # #      ##  ####   # #   # # #   ,##    # ### ##ooo  #####  ##  ## #  ####   oo#o     # #  # #So#    ##  ooo# ooo    #  ## ##o #   # ##o##  ##oo # #       oo  # #  oo # # ##ooo  #      #oo ##   o##  ######o    ###   #o   # #oo ##    ##o ## ##    #o ## ###o#  #     o#### ###  #oo #  ##o  #  ##  o#  ## ######ooooo #oo  ##  ##ooo # #    ######oo #o     # # #o ###    ### # #o# o  # #   # o##  ##    ##   o# o# ##  # ##o # ###   # # ooo##o##  # # # o#   # ##  # oo# # oo # # # ##oo  #  #### #o###  #o ##  # # #ooo###    ooo#   # o   #    ####o  #    o###  #  o  ##  # # # oo#  #ooo ###    o   # ### ####o####o### # ## #o      ##### #o####ooooo# ####o  # # #   Gooo##    ##o# #  #o  #  # #     #   ## ##oo #  oo  ####  ##  #  # # # ##o#  #o###  #  ####    # ### ##o### o   ### # ###     #  ####ooo# o#  # ####  # #    #    ###oooo     ###    # #  # #       #  # # # ##  ## #  #  ## # #    #      # # #  # #      ##  ####   # #   # # #   ,121
,   #  #   # #######  #        # # #           #  #  #  #   #      #       # #       # ## # # #  #  # # ## #    #  #    #            ### #      ##   #G      # # ####        # # #   # # ####       # # #     ##     # # #   #   # ##  #     # ## ## #   # #      #   ###    # ##  ##   # ###  ## ## # #   #  ##   # #  ##     ####   # ###      ##  ### # # ####  ### #     # # # #  ### ##  #   #   # #     #  #    ##### ##  # #    # # #   ####     ####   # #    #    ###         #   #         #    #  ##    #    ## ##   # #  ## ##       ##  #   #           # #  ###   # #   #  #   ####   # ##  #   #  # ##  ###   # ##  #  # ##   ###    ######  ###  ## #  # S #   ## #  ##        # # #  ###   ##      ###  # #  #   ###       ###   # # #     #       #      # #   ####      #     ## #  ##   #  #     # ##   #   # # # ## #    #    # # # ### #   # #  ###         #    ###   # # #    ##   #  #   #  #     #  #      ,   #  #   # #######  #        # # #           #  #  #  #   #      #       # #       # ## # # #  #  # # ## #    #  #    #     ooooo  ### #      ##   #G   ooo# #o####ooooooo # # #  o# #o#### oooooo# # #oo   ##ooo  #o# #   #   # ##  #oooo #o## ##o#   # #      #   ###oooo# ## o##   # ###  ## ## # #   #  ##o  # #  ##     ####   # ###   o  ##  ### # # ####  ### #    o# # # #  ### ##  #   #   # # ooo #  #    ##### ##  # #    # #o#   ####     ####ooo# #    # o  ###      ooo# oo#o        #o   #  ##   o#oooo##o##   # # o## ##      o##  # oo#        oo # #  ### o # # oo#  #   ####ooo# ##  # o #  #o##  ###   # ##o #  # ##o  ###o   ######  ###o ## #  #oS # oo## #  ##     oo # # #  ###  o##      ###  #o#  #   ###ooooo  ###   # # # o   #     oo#      # #   #### o    # oooo## #  ##   #  #    o# ## oo#   # # # ## #    #   o# # #o### #   # #  ###       oo#oooo###   # # #    ##   #  #ooo#  #     #  #      ,119
