instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
50x20_0.npz,3270,3268,3410,3139,3036,3104,3031
50x20_1.npz,3505,3505,3689,3248,3228,3232,3143
50x20_10.npz,3482,3495,3727,3253,3164,3203,3225
50x20_11.npz,3343,3344,3404,3493,3375,3412,3509
50x20_12.npz,3624,3629,3981,3176,3197,3265,3291
50x20_13.npz,3333,3338,3507,3367,3358,3362,3319
50x20_14.npz,3402,3402,3526,3277,3174,3164,3226
50x20_15.npz,3488,3522,3714,3257,3167,3216,3200
50x20_16.npz,3377,3375,3421,3353,3546,3306,3346
50x20_17.npz,3340,3310,3430,3354,3459,3361,3318
50x20_18.npz,3816,3817,3924,3446,3438,3409,3480
50x20_19.npz,3509,3509,3614,3356,3356,3271,3236
50x20_2.npz,3334,3352,3528,3300,3234,3257,3363
50x20_20.npz,3496,3520,3707,3408,3367,3319,3509
50x20_21.npz,3801,3839,4181,3268,3287,3326,3232
50x20_22.npz,3494,3484,3676,3487,3416,3387,3483
50x20_23.npz,3327,3310,3508,3355,3492,3363,3360
50x20_24.npz,3258,3249,3460,3335,3150,3203,3291
50x20_25.npz,3617,3628,3870,3273,3239,3220,3435
50x20_26.npz,3474,3486,3583,3309,3225,3316,3241
50x20_27.npz,3482,3486,3616,3329,3269,3387,3331
50x20_28.npz,3577,3673,3778,3280,3191,3201,3295
50x20_29.npz,3305,3305,3437,3262,3176,3213,3343
50x20_3.npz,3598,3644,3836,3287,3306,3255,3508
50x20_30.npz,3416,3419,3635,3607,3616,3749,3521
50x20_31.npz,3632,3566,3832,3414,3469,3274,3365
50x20_32.npz,3394,3403,3640,3408,3522,3509,3564
50x20_33.npz,3449,3459,3606,3188,3193,3230,3251
50x20_34.npz,3277,3262,3395,3282,3143,3279,3312
50x20_35.npz,3249,3236,3407,3260,3170,3139,3241
50x20_36.npz,3558,3548,3720,3209,3359,3286,3466
50x20_37.npz,3351,3384,3542,3138,3161,3139,3194
50x20_38.npz,3488,3489,3663,3215,3195,3205,3296
50x20_39.npz,3668,3596,3903,3329,3348,3371,3338
50x20_4.npz,3430,3429,3794,3297,3421,3439,3377
50x20_40.npz,3402,3431,3895,3459,3268,3298,3432
50x20_41.npz,3273,3261,3523,3392,3153,3278,3174
50x20_42.npz,3381,3381,3457,3416,3463,3531,3331
50x20_43.npz,3391,3384,3484,3369,3302,3431,3513
50x20_44.npz,3247,3247,3486,3203,3298,3246,3260
50x20_45.npz,3748,3777,3930,3490,3507,3675,3538
50x20_46.npz,3939,3905,4126,3426,3456,3602,3410
50x20_47.npz,3384,3471,3551,3130,3232,3192,3151
50x20_48.npz,3615,3608,3862,3433,3471,3542,3537
50x20_49.npz,3170,3167,3257,3297,3181,3127,3265
50x20_5.npz,3334,3306,3463,3245,3304,3326,3252
50x20_50.npz,3355,3425,3750,3059,3062,3006,3066
50x20_51.npz,3416,3614,3705,3156,3139,3204,3200
50x20_52.npz,3210,3219,3284,3237,3336,3411,3219
50x20_53.npz,3514,3529,3699,3394,3375,3369,3361
50x20_54.npz,3527,3541,3740,3567,3375,3461,3410
50x20_55.npz,3328,3328,3411,3176,3344,3174,3256
50x20_56.npz,3208,3213,3294,3293,3358,3421,3292
50x20_57.npz,3272,3286,3393,3038,3083,3127,3510
50x20_58.npz,3588,3521,3884,3168,3079,3135,3264
50x20_59.npz,3506,3506,3765,3328,3293,3281,3263
50x20_6.npz,3455,3486,3565,3128,3112,3109,3178
50x20_60.npz,3593,3514,3767,3185,3204,3248,3275
50x20_61.npz,3754,3752,3936,3488,3387,3535,3433
50x20_62.npz,3439,3419,3542,3301,3233,3287,3300
50x20_63.npz,3453,3468,3645,3257,3139,3262,3206
50x20_64.npz,3752,3579,4004,3356,3319,3240,3284
50x20_65.npz,3322,3253,3372,3353,3379,3396,3350
50x20_66.npz,3194,3190,3375,3194,3130,3142,3113
50x20_67.npz,3512,3557,3706,3413,3235,3255,3208
50x20_68.npz,3643,3672,3808,3322,3324,3391,3381
50x20_69.npz,3254,3284,3347,3155,3123,3169,3273
50x20_7.npz,3394,3431,3546,3349,3238,3331,3398
50x20_70.npz,3460,3464,3567,3566,3519,3485,3348
50x20_71.npz,3387,3399,3624,3235,3303,3249,3347
50x20_72.npz,3235,3262,3333,3303,3285,3257,3361
50x20_73.npz,3578,3583,3853,3413,3250,3417,3342
50x20_74.npz,3433,3426,3545,3559,3478,3575,3493
50x20_75.npz,3252,3254,3348,3095,3238,3120,3193
50x20_76.npz,3431,3425,3553,3353,3315,3379,3294
50x20_77.npz,3621,3613,3776,3476,3335,3505,3471
50x20_78.npz,3375,3377,3585,3300,3173,3111,3288
50x20_79.npz,3730,3669,4072,3598,3630,3461,3434
50x20_8.npz,3656,3753,3998,3333,3387,3425,3234
50x20_80.npz,3754,3754,3885,3499,3479,3460,3357
50x20_81.npz,3681,3769,3916,3295,3299,3317,3373
50x20_82.npz,3292,3373,3561,3248,3269,3257,3331
50x20_83.npz,3269,3292,3409,3518,3648,3428,3388
50x20_84.npz,3559,3476,3762,3362,3345,3262,3295
50x20_85.npz,3298,3281,3330,3423,3299,3328,3196
50x20_86.npz,3386,3385,3430,3474,3437,3375,3309
50x20_87.npz,3341,3380,3523,3220,3233,3176,3225
50x20_88.npz,3162,3159,3254,3067,3126,3210,3120
50x20_89.npz,3399,3373,3606,3213,3232,3167,3362
50x20_9.npz,3168,3162,3239,3095,3165,3152,3432
50x20_90.npz,3802,3727,4040,3322,3302,3378,3364
50x20_91.npz,3152,3120,3268,3211,3357,3184,3315
50x20_92.npz,3651,3438,4016,3264,3400,3267,3298
50x20_93.npz,3184,3182,3282,3144,3138,3070,3165
50x20_94.npz,3298,3298,3453,3305,3346,3238,3325
50x20_95.npz,3389,3384,3543,3177,3159,3193,3502
50x20_96.npz,3420,3513,3638,3316,3332,3394,3463
50x20_97.npz,3479,3455,3559,3196,3242,3211,3360
50x20_98.npz,3519,3532,3621,3278,3234,3242,3319
50x20_99.npz,3547,3564,3872,3166,3193,3168,3188
