instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
20x15_0.npz,2284,1585,2670,2341,2102,2132,2212
20x15_1.npz,2274,1722,2492,2261,2348,2531,2068
20x15_10.npz,2258,1738,2932,2290,2583,2316,2214
20x15_11.npz,2224,1625,2551,2193,2019,2074,2065
20x15_12.npz,2237,1733,2574,2563,2355,2418,2157
20x15_13.npz,2247,1752,2620,2344,2510,2514,2244
20x15_14.npz,2138,1735,2343,2185,2169,2168,2042
20x15_15.npz,2151,1551,2608,2337,2293,2116,1918
20x15_16.npz,2192,1728,2535,2212,2381,2216,2048
20x15_17.npz,2324,1806,2679,2399,2395,2463,2336
20x15_18.npz,2350,1790,2634,2644,2583,2287,2262
20x15_19.npz,2004,1678,2463,2321,2161,2096,2006
20x15_2.npz,2230,1727,2643,2321,2046,2270,2222
20x15_20.npz,2223,1683,2583,2321,2466,2332,1955
20x15_21.npz,2313,1788,2611,2357,2397,2357,2147
20x15_22.npz,2389,1856,2695,2503,2286,2534,2221
20x15_23.npz,2517,1688,2443,2462,2651,2350,2252
20x15_24.npz,2129,1756,2469,2271,2477,2380,2160
20x15_25.npz,2431,1839,2586,2523,2291,2241,2146
20x15_26.npz,2134,1726,2683,2360,2308,2322,2122
20x15_27.npz,2318,1827,2652,2503,2460,2425,2254
20x15_28.npz,2310,1741,2508,2152,2160,2082,2038
20x15_29.npz,2321,1760,2584,2328,2326,2206,2127
20x15_3.npz,2397,1759,2872,2387,2389,2327,2344
20x15_30.npz,2126,1677,2421,2423,2098,2342,1949
20x15_31.npz,2453,1678,2685,2344,2403,2429,2174
20x15_32.npz,2323,1782,2561,2261,2234,2340,2237
20x15_33.npz,2232,1795,2437,2284,2328,2283,2452
20x15_34.npz,2319,1654,2445,2245,2113,2292,2192
20x15_35.npz,2330,1855,2549,2333,2343,2332,2241
20x15_36.npz,2375,1893,2814,2569,2670,2647,2218
20x15_37.npz,2609,1685,2639,2248,2198,2413,2095
20x15_38.npz,2423,1787,2751,2521,2513,2510,2253
20x15_39.npz,2463,1894,2863,2437,2459,2454,2229
20x15_4.npz,2477,1757,2550,2538,2383,2474,2189
20x15_40.npz,2335,1739,2663,2558,2449,2437,2186
20x15_41.npz,2292,1666,2121,2195,2334,2248,2048
20x15_42.npz,2323,1764,2504,2242,2232,2416,2220
20x15_43.npz,2487,1770,2615,2543,2441,2324,2092
20x15_44.npz,2376,1675,2579,2229,2204,2067,2199
20x15_45.npz,2210,1767,2647,2289,2176,2355,2198
20x15_46.npz,2563,1796,2859,2544,2619,2366,2515
20x15_47.npz,2226,1821,2559,2247,2107,2178,2231
20x15_48.npz,2489,1767,2486,2265,2144,2330,2155
20x15_49.npz,2292,1773,2555,2330,2246,2346,2282
20x15_5.npz,2366,1724,2519,2103,2228,2154,2236
20x15_50.npz,2369,1664,2770,2351,2519,2487,2222
20x15_51.npz,2410,1788,2454,2442,2156,2308,2257
20x15_52.npz,2298,1646,2481,2224,2079,2176,2343
20x15_53.npz,2268,1745,2634,2334,2126,2221,2201
20x15_54.npz,2279,1656,2520,2149,2249,2256,2121
20x15_55.npz,2409,1740,2735,2442,2156,2395,2389
20x15_56.npz,2345,1757,2898,2117,2085,2278,2111
20x15_57.npz,2470,1737,2554,2275,2243,2175,2132
20x15_58.npz,2257,1699,2616,2330,2239,2235,2046
20x15_59.npz,2248,1662,2522,2217,2315,2328,2188
20x15_6.npz,2167,1752,2201,2224,2207,2115,2025
20x15_60.npz,2673,1679,2779,2384,2600,2389,2194
